SG,,,,
,,,,
This Frequency provides the information whether the training macro-economic scenarios used are reported on a monthly basis or a quarterly basis or a yearly basis.,,,,
"The value ""1"" means ""Monthly""; ""0"" means ""Quarterly""; and the value ""-1"" means ""Yearly"".",,,,
If it is on a quarterly basis;the data should be reported in Month 3 6 9 12 while blank need be reported in other months.,,,,
If it is on a yearly basis; the data should be reported in Month 12 while blank need be reported in Month 1-11,,,,
Growth rate on a monthly basis should be MoM growth rate (non-annualized); on a quarterly basis should be QoQ growth rate (non-annualized); on a yearly basis should be YoY growth rate.,,,,
Frequency,,1,1,1
,,,,
This Macro Type provides the information that for each country whether the training macroeconomic scenario is the change (growth rate/difference) or the level.,,,,
"The value ""1"" means ""Change (Growth Rate %)"";  the value ""0"" means ""Change (Difference)""; the value ""-1"" means ""Level"".",,,,
Macro Type,,1,0,1
,,,,
year,month, GDP (growth rate), UNEMP (difference), CPI (growth rate)
2007,1,0.798751532,-0.033333333,-1.227055626
2007,2,0.798751532,-0.033333333,0.515265447
2007,3,0.798751532,-0.033333333,0.344753771
2007,4,0.684930573,-0.133333333,0.371638691
2007,5,0.684930573,-0.133333333,0.540292631
2007,6,0.684930573,-0.133333333,0.456168849
2007,7,0.97892362,-0.2,1.036671134
2007,8,0.97892362,-0.2,0.358454371
2007,9,0.97892362,-0.2,-0.111412094
2007,10,-0.215512096,0,0.829961728
2007,11,-0.215512096,0,0.853495863
2007,12,-0.215512096,0,-0.115058712
2008,1,1.291468612,0.066666667,1.26495064
2008,2,1.291468612,0.066666667,0.553878211
2008,3,1.291468612,0.066666667,0.469419041
2008,4,-1.087902115,0.1,1.160698313
2008,5,-1.087902115,0.1,0.396330046
2008,6,-1.087902115,0.1,0.529462352
2008,7,-0.075955958,0.033333333,0.137079485
2008,8,-0.075955958,0.033333333,0.287164075
2008,9,-0.075955958,0.033333333,0.266841824
2008,10,-1.19387311,0.133333333,0.572183099
2008,11,-1.19387311,0.133333333,-0.017301918
2008,12,-1.19387311,0.133333333,-0.24634052
2009,1,-0.780808626,0.166666667,-0.072451937
2009,2,-0.780808626,0.166666667,-0.308399285
2009,3,-0.780808626,0.166666667,-0.200772359
2009,4,1.437759437,0,-0.930953432
2009,5,1.437759437,0,0.245544965
2009,6,1.437759437,0,0.269747925
2009,7,1.428937486,0.033333333,-0.155641221
2009,8,1.428937486,0.033333333,0.209565693
2009,9,1.428937486,0.033333333,0.227670753
2009,10,-0.142787868,-0.333333333,0.149037424
2009,11,-0.142787868,-0.333333333,0.063631512
2009,12,-0.142787868,-0.333333333,0.126156434
2010,1,2.626837562,-0.033333333,0.282726053
2010,2,2.626837562,-0.033333333,0.650683882
2010,3,2.626837562,-0.033333333,0.299389043
2010,4,1.839335322,0,0.680974208
2010,5,1.839335322,0,0.364816788
2010,6,1.839335322,0,-0.29640014
2010,7,-0.7988632,-0.033333333,0.600588537
2010,8,-0.7988632,-0.033333333,0.25457486
2010,9,-0.7988632,-0.033333333,0.378403139
2010,10,0.956927931,0.033333333,0.245034821
2010,11,0.956927931,0.033333333,0.373086324
2010,12,0.956927931,0.033333333,0.505787471
2011,1,0.951407008,-0.1,1.105563131
2011,2,0.951407008,-0.1,0.007762017
2011,3,0.951407008,-0.1,0.405533888
2011,4,0.042180426,0.033333333,0.65608936
2011,5,0.042180426,0.033333333,0.381104146
2011,6,0.042180426,0.033333333,0.295501492
2011,7,0.599339196,0.033333333,0.90200902
2011,8,0.599339196,0.033333333,0.383659507
2011,9,0.599339196,0.033333333,0.030123601
2011,10,-0.09938769,0,0.401840751
2011,11,-0.09938769,0,0.476154769
2011,12,-0.09938769,0,0.31157879
2012,1,0.892304952,0,0.540314331
2012,2,0.892304952,0,-0.224768987
2012,3,0.892304952,0,0.884414284
2012,4,0.245951814,-0.066666667,0.815092536
2012,5,0.245951814,-0.066666667,0.043752108
2012,6,0.245951814,-0.066666667,0.493818162
2012,7,-0.459202994,0.033333333,-0.107888557
2012,8,-0.459202994,0.033333333,0.23416228
2012,9,-0.459202994,0.033333333,0.733443199
2012,10,0.754987759,-0.033333333,-0.079102546
2012,11,0.754987759,-0.033333333,-0.040482188
2012,12,0.754987759,-0.033333333,0.853170139
2013,1,0.458599223,0,-0.089235519
2013,2,0.458599223,0,1.054812751
2013,3,0.458599223,0,-0.514388744
2013,4,0.731694415,0.033333333,-0.975462412
2013,5,0.731694415,0.033333333,0.140852652
2013,6,0.731694415,0.033333333,0.439881384
2013,7,0.155141927,-0.066666667,0.173041244
2013,8,0.155141927,-0.066666667,0.391786726
2013,9,0.155141927,-0.066666667,0.221737357
2013,10,0.551944342,0.033333333,0.368154625
2013,11,0.551944342,0.033333333,0.473494868
2013,12,0.551944342,0.033333333,-0.265908433
2014,1,0.13605535,0.066666667,0.030797388
2014,2,0.13605535,0.066666667,-0.065974085
2014,3,0.13605535,0.066666667,0.213897153
2014,4,0.132617148,-0.066666667,0.09310578
2014,5,0.132617148,-0.066666667,0.281690141
2014,6,0.132617148,-0.066666667,-0.217018447
2014,7,0.198041519,0.033333333,-0.132423615
2014,8,0.198041519,0.033333333,0.100108011
2014,9,0.198041519,0.033333333,-0.224579133
2014,10,0.68188357,-0.033333333,-0.029014815
2014,11,0.68188357,-0.033333333,-0.067720884
2014,12,0.68188357,-0.033333333,-0.153135314
2015,1,-0.240044065,-0.033333333,-0.187746252
2015,2,-0.240044065,-0.033333333,-0.055635034
2015,3,-0.240044065,-0.033333333,0.242986525
2015,4,0.037620303,0.033333333,0.047598061
2015,5,0.037620303,0.033333333,0.360339724
2015,6,0.037620303,0.033333333,-0.248435209
2015,7,0.210310809,0.033333333,-0.172489659
2015,8,0.210310809,0.033333333,-0.376430347
2015,9,0.210310809,0.033333333,0.013273514
2015,10,0.412087157,-0.033333333,-0.192882802
2015,11,0.412087157,-0.033333333,-0.118790114
2015,12,0.412087157,-0.033333333,0.106505725
2016,1,-0.039150361,0,-0.167568047
2016,2,-0.039150361,0,-0.082592517
2016,3,-0.039150361,0,-0.097770825
2016,4,0.063578606,0.066666667,0.298937704
2016,5,0.063578606,0.066666667,-0.720279596
2016,6,0.063578606,0.066666667,0.565572452
2016,7,-0.031675538,0,0.016880636
